president,party
Abraham Lincoln,Republican
Ulysses S. Grant,Republican
Rutherford B. Hayes,Republican
James Garfield,Republican
Chester Arthur,Republican
Benjamin Harrison,Republican
William McKinley,Republican
Theodore Roosevelt,Republican
William Howard Taft,Republican
Warren Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Dwight Eisenhower,Republican
Richard Nixon,Republican
Gerald Ford,Republican
Ronald Reagan,Republican
George Bush,Republican
George W. Bush,Republican
Donald Trump,Republican
Andrew Jackson,Democrat
Martin Van Buren,Democrat
James K. Polk,Democrat
Franklin Pierce,Democrat
James Buchanan,Democrat
Grover Cleveland,Democrat
Woodrow Wilson,Democrat
Franklin D. Roosevelt,Democrat
Harry Truman,Democrat
John F. Kennedy,Democrat
Lyndon Johnson,Democrat
Jimmy Carter,Democrat
Bill Clinton,Democrat
Barack Obama,Democrat
